"","feature","final_association"
"1","Solyc01g006120.4.1",0
"2","Solyc01g008440.3.1",0
"3","Solyc01g008850.4.1",0
"4","Solyc01g028810.3.1",0
"5","Solyc01g079610.3.1",0
"6","Solyc01g080240.4.1",0
"7","Solyc01g086740.3.1",0
"8","Solyc01g088080.3.1",0
"9","Solyc01g090750.3.1",0
"10","Solyc01g096700.4.1",0
"11","Solyc01g097770.4.1",0
"12","Solyc01g099020.3.1",0
"13","Solyc01g099260.3.1",0
"14","Solyc01g100230.3.1",0
"15","Solyc01g101000.3.1",0
"16","Solyc01g102960.3.1",0
"17","Solyc01g103430.4.1",0
"18","Solyc01g103450.3.1",0
"19","Solyc01g103940.3.1",0
"20","Solyc01g104740.3.1",0
"21","Solyc01g105340.4.1",0
"22","Solyc01g106210.3.1",0
"23","Solyc01g108280.3.1",0
"24","Solyc01g109880.3.1",0
"25","Solyc01g112250.4.1",0
"26","Solyc02g014860.3.1",0
"27","Solyc02g021440.4.1",0
"28","Solyc02g031850.1.1",0
"29","Solyc02g031860.3.1",0
"30","Solyc02g031900.3.1",0
"31","Solyc02g031910.2.1",0
"32","Solyc02g067030.5.1",0
"33","Solyc02g071700.3.1",0
"34","Solyc02g071740.3.1",0
"35","Solyc02g072300.4.1",0
"36","Solyc02g072530.3.1",0
"37","Solyc02g077330.3.1",0
"38","Solyc02g077670.3.1",0
"39","Solyc02g078140.3.1",0
"40","Solyc02g080070.3.1",0
"41","Solyc02g080130.5.1",0
"42","Solyc02g080410.3.1",0
"43","Solyc02g088340.4.1",0
"44","Solyc02g088610.4.1",0
"45","Solyc02g089090.3.1",0
"46","Solyc02g090390.4.1",0
"47","Solyc02g090820.3.1",0
"48","Solyc02g092640.4.1",0
"49","Solyc02g093600.3.1",0
"50","Solyc03g006250.2.1",0
"51","Solyc03g007890.3.1",0
"52","Solyc03g026340.4.1",0
"53","Solyc03g033540.3.1",0
"54","Solyc03g044140.3.1",0
"55","Solyc03g082420.3.1",0
"56","Solyc03g082920.4.1",0
"57","Solyc03g097920.1.1",0
"58","Solyc03g112050.4.1",0
"59","Solyc03g113930.3.1",0
"60","Solyc03g115230.3.1",0
"61","Solyc03g117590.3.1",0
"62","Solyc03g117630.1.1",0
"63","Solyc03g117950.3.1",0
"64","Solyc03g120850.5.1",0
"65","Solyc03g121180.4.1",0
"66","Solyc03g121640.3.1",0
"67","Solyc03g121820.3.1",0
"68","Solyc03g123540.3.1",0
"69","Solyc03g123560.3.1",0
"70","Solyc03g123800.3.1",0
"71","Solyc04g007710.3.1",0
"72","Solyc04g009770.3.1",0
"73","Solyc04g009910.3.1",0
"74","Solyc04g011440.4.1",0
"75","Solyc04g011520.3.1",0
"76","Solyc04g012160.4.1",0
"77","Solyc04g014480.3.1",0
"78","Solyc04g045600.4.1",0
"79","Solyc04g050730.3.1",0
"80","Solyc04g074000.3.1",0
"81","Solyc04g074030.3.1",0
"82","Solyc04g076080.3.1",0
"83","Solyc04g077390.3.1",0
"84","Solyc04g078870.4.1",0
"85","Solyc04g080730.3.1",0
"86","Solyc04g081440.3.1",0
"87","Solyc04g082720.3.1",0
"88","Solyc05g007120.4.1",0
"89","Solyc05g007140.3.1",0
"90","Solyc05g008120.4.1",0
"91","Solyc05g008950.4.1",0
"92","Solyc05g010670.3.1",0
"93","Solyc05g013070.3.1",0
"94","Solyc05g013990.3.1",0
"95","Solyc05g014280.4.1",0
"96","Solyc05g014760.3.1",0
"97","Solyc05g016410.3.1",0
"98","Solyc05g053210.5.1",0
"99","Solyc05g053230.3.1",0
"100","Solyc05g053470.3.1",0
"101","Solyc05g053760.5.1",0
"102","Solyc05g055160.3.1",0
"103","Solyc05g056310.3.1",0
"104","Solyc06g005170.3.1",0
"105","Solyc06g005500.4.1",0
"106","Solyc06g007440.4.1",0
"107","Solyc06g036290.3.1",0
"108","Solyc06g060680.2.1",0
"109","Solyc06g062790.3.1",0
"110","Solyc06g065520.3.1",0
"111","Solyc06g068500.3.1",0
"112","Solyc06g068820.3.1",0
"113","Solyc06g069430.3.1",0
"114","Solyc06g071810.1.1",0
"115","Solyc06g072330.3.1",0
"116","Solyc06g073950.3.1",0
"117","Solyc06g075010.5.1",0
"118","Solyc06g076020.3.1",0
"119","Solyc06g076520.1.1",0
"120","Solyc06g076540.1.1",0
"121","Solyc06g076560.2.1",0
"122","Solyc06g076570.4.1",0
"123","Solyc06g082920.3.1",0
"124","Solyc06g082970.3.1",0
"125","Solyc06g083830.4.1",0
"126","Solyc06g084160.4.1",0
"127","Solyc07g005440.1.1",0
"128","Solyc07g006620.4.1",0
"129","Solyc07g042680.3.1",0
"130","Solyc07g042890.3.1",0
"131","Solyc07g043560.4.1",0
"132","Solyc07g047790.3.1",0
"133","Solyc07g049440.3.1",0
"134","Solyc07g055260.3.1",0
"135","Solyc07g055720.5.1",0
"136","Solyc07g062400.3.1",0
"137","Solyc07g064020.5.1",0
"138","Solyc07g064610.3.1",0
"139","Solyc07g065840.2.1",0
"140","Solyc08g005470.4.1",0
"141","Solyc08g006120.3.1",0
"142","Solyc08g062340.3.1",0
"143","Solyc08g066870.4.1",0
"144","Solyc08g068300.3.1",0
"145","Solyc08g074760.3.1",0
"146","Solyc08g075890.3.1",0
"147","Solyc08g077780.3.1",0
"148","Solyc08g078700.3.1",0
"149","Solyc08g078720.3.1",0
"150","Solyc08g082820.4.1",0
"151","Solyc09g007390.3.1",0
"152","Solyc09g009100.4.1",0
"153","Solyc09g010630.3.1",0
"154","Solyc09g015000.4.1",0
"155","Solyc09g015020.1.1",0
"156","Solyc09g015360.5.1",0
"157","Solyc09g055570.3.1",0
"158","Solyc09g066440.4.1",0
"159","Solyc09g074610.3.1",0
"160","Solyc09g082470.4.1",0
"161","Solyc09g083210.3.1",0
"162","Solyc09g090200.4.1",0
"163","Solyc09g091180.3.1",0
"164","Solyc10g007500.4.1",0
"165","Solyc10g074930.1.1",0
"166","Solyc10g076550.1.1",0
"167","Solyc10g076740.3.1",0
"168","Solyc10g080700.2.1",0
"169","Solyc10g086040.2.1",0
"170","Solyc10g086410.3.1",0
"171","Solyc11g005630.1.1",0
"172","Solyc11g006250.2.1",0
"173","Solyc11g006460.3.1",0
"174","Solyc11g011260.1.1",0
"175","Solyc11g020040.2.1",0
"176","Solyc11g020280.2.1",0
"177","Solyc11g020330.1.1",0
"178","Solyc11g062410.3.1",0
"179","Solyc11g066060.4.1",0
"180","Solyc11g066100.2.1",0
"181","Solyc11g069000.2.1",0
"182","Solyc11g069790.2.1",0
"183","Solyc11g071830.2.1",0
"184","Solyc11g072710.3.1",0
"185","Solyc12g009020.2.1",0
"186","Solyc12g009570.3.1",0
"187","Solyc12g010130.1.1",0
"188","Solyc12g015880.2.1",0
"189","Solyc12g017460.1.1",0
"190","Solyc12g042060.3.1",0
"191","Solyc12g043110.2.1",0
"192","Solyc12g055720.2.1",0
"193","Solyc12g056850.2.1",0
"194","Solyc12g062870.2.1",0
"195","Solyc12g095830.3.1",0
"196","Solyc12g095860.2.1",0
"197","Solyc12g098820.2.1",0
"198","Solyc12g099790.3.1",0
